status	slug	lens_system_type	display_name	datasheet_path	reasons
ready	canon-eos-1000d	interchangeable	Canon EOS 1000D	catalog/data_sheets/canon/canon-eos-1000d/datasheet.yaml	
ready	canon-eos-100d	interchangeable	Canon EOS 100D	catalog/data_sheets/canon/canon-eos-100d/datasheet.yaml	
ready	canon-eos-10d	interchangeable	Canon EOS 10D	catalog/data_sheets/canon/canon-eos-10d/datasheet.yaml	
ready	canon-eos-1100d	interchangeable	Canon EOS 1100D	catalog/data_sheets/canon/canon-eos-1100d/datasheet.yaml	
ready	canon-eos-1200d	interchangeable	Canon EOS 1200D	catalog/data_sheets/canon/canon-eos-1200d/datasheet.yaml	
ready	canon-eos-1300d	interchangeable	Canon EOS 1300D	catalog/data_sheets/canon/canon-eos-1300d/datasheet.yaml	
ready	canon-eos-1d	interchangeable	Canon EOS-1D	catalog/data_sheets/canon/canon-eos-1d/datasheet.yaml	
ready	canon-eos-1d-c	interchangeable	Canon EOS-1D C	catalog/data_sheets/canon/canon-eos-1d-c/datasheet.yaml	
ready	canon-eos-1d-mark-ii	interchangeable	Canon EOS-1D Mark II	catalog/data_sheets/canon/canon-eos-1d-mark-ii/datasheet.yaml	
ready	canon-eos-1d-mark-ii-n	interchangeable	Canon EOS-1D Mark II N	catalog/data_sheets/canon/canon-eos-1d-mark-ii-n/datasheet.yaml	
ready	canon-eos-1d-mark-iii	interchangeable	Canon EOS-1D Mark III	catalog/data_sheets/canon/canon-eos-1d-mark-iii/datasheet.yaml	
ready	canon-eos-1d-mark-iv	interchangeable	Canon EOS-1D Mark IV	catalog/data_sheets/canon/canon-eos-1d-mark-iv/datasheet.yaml	
ready	canon-eos-1d-x	interchangeable	Canon EOS-1D X	catalog/data_sheets/canon/canon-eos-1d-x/datasheet.yaml	
ready	canon-eos-1d-x-mark-ii	interchangeable	Canon EOS-1D X Mark II	catalog/data_sheets/canon/canon-eos-1d-x-mark-ii/datasheet.yaml	
ready	canon-eos-1d-x-mark-iii	interchangeable	Canon EOS-1D X Mark III	catalog/data_sheets/canon/canon-eos-1d-x-mark-iii/datasheet.yaml	
ready	canon-eos-1ds	interchangeable	Canon EOS-1Ds	catalog/data_sheets/canon/canon-eos-1ds/datasheet.yaml	
ready	canon-eos-1ds-mark-ii	interchangeable	Canon EOS-1Ds Mark II	catalog/data_sheets/canon/canon-eos-1ds-mark-ii/datasheet.yaml	
