slug	family	display_name
canon-eos-1000d	eos	Canon EOS 1000D
canon-eos-100d	eos	Canon EOS 100D
canon-eos-10d	eos	Canon EOS 10D
canon-eos-1100d	eos	Canon EOS 1100D
canon-eos-1200d	eos	Canon EOS 1200D
canon-eos-1300d	eos	Canon EOS 1300D
canon-eos-1d	eos	Canon EOS-1D
canon-eos-1d-c	eos	Canon EOS-1D C
canon-eos-1d-mark-ii	eos	Canon EOS-1D Mark II
canon-eos-1d-mark-ii-n	eos	Canon EOS-1D Mark II N
canon-eos-1d-mark-iii	eos	Canon EOS-1D Mark III
canon-eos-1d-mark-iv	eos	Canon EOS-1D Mark IV
canon-eos-1d-x	eos	Canon EOS-1D X
canon-eos-1d-x-mark-ii	eos	Canon EOS-1D X Mark II
canon-eos-1d-x-mark-iii	eos	Canon EOS-1D X Mark III
canon-eos-1ds	eos	Canon EOS-1Ds
canon-eos-1ds-mark-ii	eos	Canon EOS-1Ds Mark II
canon-eos-1ds-mark-iii	eos	Canon EOS-1Ds Mark III
canon-eos-2000d	eos	Canon EOS 2000D
canon-eos-200d	eos	Canon EOS 200D
canon-eos-20d	eos	Canon EOS 20D
canon-eos-20da	eos	Canon EOS 20Da
canon-eos-250d	eos	Canon EOS 250D
canon-eos-300d	eos	Canon EOS 300D
canon-eos-30d	eos	Canon EOS 30D
canon-eos-350d	eos	Canon EOS 350D
canon-eos-4000d	eos	Canon EOS 4000D
canon-eos-400d	eos	Canon EOS 400D
canon-eos-40d	eos	Canon EOS 40D
canon-eos-450d	eos	Canon EOS 450D
canon-eos-500d	eos	Canon EOS 500D
canon-eos-50d	eos	Canon EOS 50D
canon-eos-550d	eos	Canon EOS 550D
canon-eos-5d	eos	Canon EOS 5D
canon-eos-5d-mark-ii	eos	Canon EOS 5D Mark II
canon-eos-5d-mark-iii	eos	Canon EOS 5D Mark III
canon-eos-5d-mark-iv	eos	Canon EOS 5D Mark IV
canon-eos-5ds	eos	Canon EOS 5DS
canon-eos-600d	eos	Canon EOS 600D
canon-eos-60d	eos	Canon EOS 60D
canon-eos-60da	eos	Canon EOS 60Da
canon-eos-650d	eos	Canon EOS 650D
canon-eos-6d	eos	Canon EOS 6D
canon-eos-6d-mark-ii	eos	Canon EOS 6D Mark II
canon-eos-700d	eos	Canon EOS 700D
canon-eos-70d	eos	Canon EOS 70D
canon-eos-750d	eos	Canon EOS 750D
canon-eos-760d	eos	Canon EOS 760D
canon-eos-77d	eos	Canon EOS 77D
canon-eos-7d	eos	Canon EOS 7D
canon-eos-7d-mark-ii	eos	Canon EOS 7D Mark II
canon-eos-800d	eos	Canon EOS 800D
canon-eos-80d	eos	Canon EOS 80D
canon-eos-850d	eos	Canon EOS 850D
canon-eos-90d	eos	Canon EOS 90D
canon-eos-d2000	eos	Canon EOS D2000
canon-eos-d30	eos	Canon EOS D30
canon-eos-d60	eos	Canon EOS D60
canon-eos-d6000	eos	Canon EOS D6000
canon-eos-dcs-1	eos	Canon EOS DCS 1
canon-eos-dcs-3	eos	Canon EOS DCS 3
canon-eos-dcs-5	eos	Canon EOS DCS 5
canon-eos-m	eos	Canon EOS M
canon-eos-m10	eos	Canon EOS M10
canon-eos-m100	eos	Canon EOS M100
canon-eos-m2	eos	Canon EOS M2
canon-eos-m200	eos	Canon EOS M200
canon-eos-m3	eos	Canon EOS M3
canon-eos-m5	eos	Canon EOS M5
canon-eos-m50	eos	Canon EOS M50
canon-eos-m50-mark-ii	eos	Canon EOS M50 Mark II
canon-eos-m6	eos	Canon EOS M6
canon-eos-m6-mark-ii	eos	Canon EOS M6 Mark II
canon-eos-r	eos	Canon EOS R
canon-eos-r1	eos	Canon EOS R1
canon-eos-r10	eos	Canon EOS R10
canon-eos-r100	eos	Canon EOS R100
canon-eos-r3	eos	Canon EOS R3
canon-eos-r5	eos	Canon EOS R5
canon-eos-r5-mark-ii	eos	Canon EOS R5 Mark II
canon-eos-r50	eos	Canon EOS R50
canon-eos-r50-v	eos	Canon EOS R50 V
canon-eos-r6	eos	Canon EOS R6
canon-eos-r6-ii	eos	Canon EOS R6 Mark II
canon-eos-r6-mark-iii	eos	Canon EOS R6 Mark III
canon-eos-r7	eos	Canon EOS R7
canon-eos-r8	eos	Canon EOS R8
canon-eos-ra	eos	Canon EOS Ra
canon-eos-rp	eos	Canon EOS RP
canon-powershot-30	powershot	Canon PowerShot 30
canon-powershot-30t	powershot	Canon PowerShot 30T
canon-powershot-350	powershot	Canon PowerShot 350
canon-powershot-600	powershot	Canon PowerShot 600
canon-powershot-600n	powershot	Canon PowerShot 600N
canon-powershot-a10	powershot	Canon PowerShot A10
canon-powershot-a100	powershot	Canon PowerShot A100
canon-powershot-a1000-is	powershot	Canon PowerShot A1000 IS
canon-powershot-a1100-is	powershot	Canon PowerShot A1100 IS
canon-powershot-a1200	powershot	Canon PowerShot A1200
canon-powershot-a1300	powershot	Canon PowerShot A1300
canon-powershot-a1400	powershot	Canon PowerShot A1400
canon-powershot-a20	powershot	Canon PowerShot A20
canon-powershot-a200	powershot	Canon PowerShot A200
canon-powershot-a2000-is	powershot	Canon PowerShot A2000 IS
canon-powershot-a2100-is	powershot	Canon PowerShot A2100 IS
canon-powershot-a2200	powershot	Canon PowerShot A2200
canon-powershot-a2300	powershot	Canon PowerShot A2300
canon-powershot-a2400-is	powershot	Canon PowerShot A2400 IS
canon-powershot-a2600	powershot	Canon PowerShot A2600
canon-powershot-a30	powershot	Canon PowerShot A30
canon-powershot-a300	powershot	Canon PowerShot A300
canon-powershot-a3000-is	powershot	Canon PowerShot A3000 IS
canon-powershot-a310	powershot	Canon PowerShot A310
canon-powershot-a3100-is	powershot	Canon PowerShot A3100 IS
canon-powershot-a3200-is	powershot	Canon PowerShot A3200 IS
canon-powershot-a3300-is	powershot	Canon PowerShot A3300 IS
canon-powershot-a3400-is	powershot	Canon PowerShot A3400 IS
canon-powershot-a3500-is	powershot	Canon PowerShot A3500 IS
canon-powershot-a40	powershot	Canon PowerShot A40
canon-powershot-a400	powershot	Canon PowerShot A400
canon-powershot-a4000-is	powershot	Canon PowerShot A4000 IS
canon-powershot-a410	powershot	Canon PowerShot A410
canon-powershot-a420	powershot	Canon PowerShot A420
canon-powershot-a430	powershot	Canon PowerShot A430
canon-powershot-a450	powershot	Canon PowerShot A450
canon-powershot-a460	powershot	Canon PowerShot A460
canon-powershot-a470	powershot	Canon PowerShot A470
canon-powershot-a480	powershot	Canon PowerShot A480
canon-powershot-a490	powershot	Canon PowerShot A490
canon-powershot-a495	powershot	Canon PowerShot A495
canon-powershot-a5	powershot	Canon PowerShot A5
canon-powershot-a5-zoom	powershot	Canon PowerShot A5 Zoom
canon-powershot-a50	powershot	Canon PowerShot A50
canon-powershot-a510	powershot	Canon PowerShot A510
canon-powershot-a520	powershot	Canon PowerShot A520
canon-powershot-a530	powershot	Canon PowerShot A530
canon-powershot-a540	powershot	Canon PowerShot A540
canon-powershot-a550	powershot	Canon PowerShot A550
canon-powershot-a560	powershot	Canon PowerShot A560
canon-powershot-a570-is	powershot	Canon PowerShot A570 IS
canon-powershot-a580	powershot	Canon PowerShot A580
canon-powershot-a590-is	powershot	Canon PowerShot A590 IS
canon-powershot-a60	powershot	Canon PowerShot A60
canon-powershot-a610	powershot	Canon PowerShot A610
canon-powershot-a620	powershot	Canon PowerShot A620
canon-powershot-a630	powershot	Canon PowerShot A630
canon-powershot-a640	powershot	Canon PowerShot A640
canon-powershot-a650-is	powershot	Canon PowerShot A650 IS
canon-powershot-a70	powershot	Canon PowerShot A70
canon-powershot-a700	powershot	Canon PowerShot A700
canon-powershot-a710-is	powershot	Canon PowerShot A710 IS
canon-powershot-a720-is	powershot	Canon PowerShot A720 IS
canon-powershot-a75	powershot	Canon PowerShot A75
canon-powershot-a80	powershot	Canon PowerShot A80
canon-powershot-a810	powershot	Canon PowerShot A810
canon-powershot-a85	powershot	Canon PowerShot A85
canon-powershot-a95	powershot	Canon PowerShot A95
canon-powershot-d10	powershot	Canon PowerShot D10
canon-powershot-d20	powershot	Canon PowerShot D20
canon-powershot-d30	powershot	Canon PowerShot D30
canon-powershot-e1	powershot	Canon PowerShot E1
canon-powershot-elph-100-hs	powershot	Canon PowerShot ELPH 100 HS
canon-powershot-elph-110-hs	powershot	Canon PowerShot ELPH 110 HS
canon-powershot-elph-115-is	powershot	Canon PowerShot ELPH 115 IS
canon-powershot-elph-120-is	powershot	Canon PowerShot ELPH 120 IS
canon-powershot-elph-130-is	powershot	Canon PowerShot ELPH 130 IS
canon-powershot-elph-135	powershot	Canon PowerShot ELPH 135
canon-powershot-elph-140-is	powershot	Canon PowerShot ELPH 140 IS
canon-powershot-elph-150-is	powershot	Canon PowerShot ELPH 150 IS
canon-powershot-elph-160	powershot	Canon PowerShot ELPH 160
canon-powershot-elph-170-is	powershot	Canon PowerShot ELPH 170 IS
canon-powershot-elph-180	powershot	Canon PowerShot ELPH 180
canon-powershot-elph-185	powershot	Canon PowerShot ELPH 185
